Recommendation ID,Price,Taxes,Base Fare
3,375.38,244.64000000000001,130.73999999999998
10,446.38,170.88,275.5
11,454.38,211.14000000000001,243.23999999999998
17,504.38,144.14000000000001,360.24
21,525.38,137.38,388.0
22,525.38,207.76,317.62
27,575.38,70.38,505.0
28,575.38,170.88,404.5
31,603.38,174.26,429.12
34,654.38,107.26,547.12
35,654.38,137.38,517.0
36,689.38,378.64,310.74
37,704.38,70.38,634.0
38,725.38,378.64,346.74
43,760.38,304.88,455.5
44,760.38,318.40000000000003,441.97999999999996
49,796.38,304.88,491.5
50,796.38,392.16,404.21999999999997
60,838.38,341.76,496.62
61,838.38,284.90000000000003,553.48
69,875.38,341.76,533.62
70,875.38,358.66,516.72
71,889.38,304.88,584.5
72,889.38,217.9,671.48
77,925.38,304.88,620.5
78,925.38,291.66,633.72
85,1073.38,452.40000000000003,620.98
86,1110.38,452.40000000000003,657.98
87,1110.38,526.16,584.2200000000001
90,1146.38,526.16,620.2200000000001
